타임스탬프,사용자ID,화면,이벤트,대상,값,행동,브라우저,디바이스
2026. 2. 6 오전 1:37:26,session_1770302915208_te36vyjba,메인 미션 화면,버튼 클릭,미션 1-1,,미션 1-1 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:37:28,session_1770302915208_te36vyjba,편집1-1_화면,미션 시작,편집1-1_미션시작,,편집1-1_미션시작 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:37:29,session_1770302915208_te36vyjba,편집1-1_미션설명,화면 진입,,,편집1-1_미션설명 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:37:29,session_1770302915208_te36vyjba,편집1-1_미션설명,버튼 클릭,다음,,다음 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:37:29,session_1770302915208_te36vyjba,메인 미션 화면,미션 시작,미션 1-1,,미션 1-1 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:37:32,session_1770302915208_te36vyjba,편집1-1_화면,화면 진입,,,편집1-1_화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:37:34,session_1770302915208_te36vyjba,편집1-1_화면,버튼 클릭,영상추가,"{""currentCut"":1,""hasVideo"":false,""isPlaying"":false}",영상추가 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:37:37,session_1770302915208_te36vyjba,편집1-1_화면,버튼 클릭,영상업로드완료,"{""currentCut"":1,""fileName"":""20260202_180706.mp4"",""fileSize"":263689316}",영상업로드완료 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:37:40,session_1770302915208_te36vyjba,편집1-1_화면,미션 완료,편집1-1_미션완료,완료시간:10.5초,편집1-1_미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:37:41,session_1770302915208_te36vyjba,편집1-1_화면,버튼 클릭,재생,"{""currentCut"":1,""hasVideo"":true,""hasUploaded"":true,""isPlaying"":false,""expected"":true}",재생 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:37:43,session_1770302915208_te36vyjba,편집2-1_화면,미션 시작,편집2-1_미션시작,,편집2-1_미션시작 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:37:44,session_1770302915208_te36vyjba,편집1-1_화면,화면 이탈,,11.7초,편집1-1_화면 화면 이탈 ,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:37:44,session_1770302915208_te36vyjba,메인 미션 화면,버튼 클릭,미션 2-1,,미션 2-1 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:37:44,session_1770302915208_te36vyjba,메인 미션 화면,미션 시작,미션 2-1,,미션 2-1 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:37:49,session_1770302915208_te36vyjba,편집2-1_화면,버튼 클릭,컷4,"{""currentCut"":1,""targetCut"":4,""hasVideo"":false,""isPlaying"":false,""expected"":true}",컷4 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:37:53,session_1770302915208_te36vyjba,편집2-1_화면,미션 완료,편집2-1_미션완료,완료시간:8.9초,편집2-1_미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 1:37:55,session_1770302915208_te36vyjba,메인 미션 화면,버튼 클릭,미션 6-1,,미션 6-1 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
