타임스탬프,사용자ID,화면,이벤트,대상,값,행동,브라우저,디바이스
2026. 2. 6 오전 2:00:21,session_1770310818759_dqtpi1c6r,로그인,화면 진입,,,로그인 화면 진입,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/131.0.6778.0 Safari/537.36",desktop
2026. 2. 6 오전 2:00:48,session_1770302915208_te36vyjba,메인 미션 화면,미션 시작,미션 1-1,,미션 1-1 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:00:51,session_1770302915208_te36vyjba,메인 미션 화면,버튼 클릭,미션 1-1,,미션 1-1 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:00:52,session_1770302915208_te36vyjba,편집1-1_미션설명,버튼 클릭,다음,,다음 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:00:52,session_1770302915208_te36vyjba,편집1-1_화면,미션 시작,편집1-1_미션시작,,편집1-1_미션시작 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:00:52,session_1770302915208_te36vyjba,편집1-1_화면,버튼 클릭,영상업로드완료,"{""currentCut"":1,""fileName"":""20260202_180706.mp4"",""fileSize"":263689316}",영상업로드완료 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:00:53,session_1770302915208_te36vyjba,편집1-1_화면,버튼 클릭,영상추가,"{""currentCut"":1,""hasVideo"":false,""isPlaying"":false}",영상추가 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:00:53,session_1770302915208_te36vyjba,편집1-1_미션설명,화면 진입,,,편집1-1_미션설명 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:00:54,session_1770302915208_te36vyjba,편집1-1_화면,버튼 클릭,재생,"{""currentCut"":1,""hasVideo"":true,""hasUploaded"":true,""isPlaying"":false,""expected"":true}",재생 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:00:54,session_1770302915208_te36vyjba,편집1-1_화면,미션 완료,편집1-1_미션완료,완료시간:6.4초,편집1-1_미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:00:58,session_1770302915208_te36vyjba,편집1-1_화면,화면 이탈,,8.7초,편집1-1_화면 화면 이탈 ,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:00:58,session_1770302915208_te36vyjba,메인 미션 화면,미션 시작,미션 2-1,,미션 2-1 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:00:58,session_1770302915208_te36vyjba,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:00,session_1770302915208_te36vyjba,편집1-1_화면,화면 진입,,,편집1-1_화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:00,session_1770302915208_te36vyjba,편집2-1_화면,미션 시작,편집2-1_미션시작,,편집2-1_미션시작 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:00,session_1770302915208_te36vyjba,편집2-1_화면,버튼 클릭,컷4,"{""currentCut"":1,""targetCut"":4,""hasVideo"":false,""isPlaying"":false,""expected"":true}",컷4 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:01,session_1770302915208_te36vyjba,편집2-1_화면,화면 진입,,,편집2-1_화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:01,session_1770302915208_te36vyjba,메인 미션 화면,버튼 클릭,미션 2-1,,미션 2-1 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:04,session_1770302915208_te36vyjba,편집2-1_미션설명,화면 진입,,,편집2-1_미션설명 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:06,session_1770302915208_te36vyjba,편집2-1_화면,미션 완료,편집2-1_미션완료,완료시간:4.5초,편집2-1_미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:07,session_1770302915208_te36vyjba,편집2-1_미션설명,버튼 클릭,다음,,다음 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:08,session_1770302915208_te36vyjba,편집6-1_화면,미션 시작,편집6-1_기본미션시작,,편집6-1_기본미션시작 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:08,session_1770302915208_te36vyjba,편집6-1_미션설명,화면 진입,,,편집6-1_미션설명 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:09,session_1770302915208_te36vyjba,편집6-1_미션설명,버튼 클릭,다음,,다음 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:09,session_1770302915208_te36vyjba,메인 미션 화면,미션 시작,미션 6-1,,미션 6-1 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:09,session_1770302915208_te36vyjba,메인 미션 화면,화면 진입,,,메인 미션 화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:09,session_1770302915208_te36vyjba,편집6-1_화면,화면 진입,,,편집6-1_화면 화면 진입,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:10,session_1770302915208_te36vyjba,메인 미션 화면,버튼 클릭,미션 6-1,,미션 6-1 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:10,session_1770302915208_te36vyjba,편집2-1_화면,화면 이탈,,7.7초,편집2-1_화면 화면 이탈 ,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:12,session_1770302915208_te36vyjba,편집6-1_화면,버튼 클릭,AI자막추천,"{""currentCut"":1,""hasVideo"":false,""currentSubtitle"":"""",""missionStage"":0,""isRecommend"":false}",AI자막추천 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:15,session_1770302915208_te36vyjba,편집6-1_화면,미션 완료,편집6-1_기본미션완료,완료시간:5.5초,편집6-1_기본미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:16,session_1770302915208_te36vyjba,편집6-1_화면,미션 시작,편집6-1_추가미션시작,,편집6-1_추가미션시작 미션 시작,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:17,session_1770302915208_te36vyjba,편집6-1_화면,버튼 클릭,팝업확인,"{""currentCut"":1,""missionStage"":1}",팝업확인 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:19,session_1770302915208_te36vyjba,편집6-1_화면,버튼 클릭,AI자막추천,"{""currentCut"":1,""hasVideo"":false,""currentSubtitle"":""성수동 카페 탐방!"",""missionStage"":2,""isRecommend"":true}",AI자막추천 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:20,session_1770302915208_te36vyjba,편집6-1_화면,버튼 클릭,바로편집시작,"{""currentCut"":1,""uploadedCuts"":0,""missionStage"":2,""expected"":true}",바로편집시작 버튼 클릭,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
2026. 2. 6 오전 2:01:21,session_1770302915208_te36vyjba,편집6-1_화면,미션 완료,편집6-1_추가미션완료,완료시간:6.8초,편집6-1_추가미션완료 미션 완료,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/29.0 Chrome/136.0.0.0 Mobile Safari/537.36",mobile
